"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00419966","1983","31.69528","-106.32167","1118.6","YSLETA, TX US","   1226.0","","    1226.0","0","        53","0","        28","0","         1","0","","","         0","0","         0","0","        66","0","         0","0","       246","0","       126","0","","","  -12.8","0,1229, ","","","     0"," ,0,1231,+","  29.2"," ,0,1019, ","   43.3","0,0806, ","-0.6","0,1121","-2.2","0,1123","-4.4","0,1124","-8.9","0,1219","-8.9","0,1219","-1.1","0,0414","-3.3","0,0408","-5.0","0,0127","-6.7","0,0105","-9.4","0,0103","    1455.8","8","    1455.8","0","     26.22","0","    238.5"," ,0","        0"," ,0","     17.73","0","     26.88","0","      8.57","0","     26047","0"
"USC00419966","1984","31.69528","-106.32167","1118.6","YSLETA, TX US","   1294.6","","    1294.6","0","        55","0","        33","0","         3","0","","","         0","0","         0","0","        67","0","         0","0","       262","0","       122","0","","","   -9.4","0,0121, ","","","     0"," ,0,1231,+","  37.3"," ,0,0808, ","   42.8","0,0704,+","-1.7","0,1120","-5.0","0,1126","-5.0","0,1126","","","","","-1.1","0,0308","-3.9","0,0307","-5.0","0,0306","-6.7","0,0221","-9.4","0,0121","    1237.5","5","    1237.5","0","     25.52","0","    319.4"," ,0","        0"," ,0","     18.07","0","     26.69","0","      9.46","0","     23496","0"
"USC00419966","1985","31.69528","-106.32167","1118.6","YSLETA, TX US","   1215.8","","    1215.8","0","        50","0","        21","0","         1","0","","","","","         0","0","        61","0","         1","0","       263","0","       120","0","","","  -11.1","0,0201, ","","","","","  48.3"," ,0,0725, ","   42.2","0,0707,+","-1.7","0,1120","-5.6","0,1211","-5.6","0,1211","-8.9","0,1213","-8.9","0,1213","-1.1","0,0330","-2.2","0,0304","-11.1","0,0201","-11.1","0,0201","-11.1","0,0201","    1425.0","0","    1425.0","0","","","    232.3"," ,0","","","     17.91","0","     26.50","0","      9.31","0","",""
"USC00419966","1986","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","    1125.0","0","    1125.0","0","","","","","        0"," ,0","","","","","","","",""
"USC00419966","1987","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00419966","1988","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00419966","1991","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00419966","1992","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","         0","0","       250","0","       131","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   42.8","0,0706, ","","","","","","","","","","","","","","","","","","","","","    1378.7","7","    1378.7","0","     23.26","0","","","        0"," ,0","","","     26.17","0","","","",""
"USC00419966","1993","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","         0","0","       247","0","       136","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   41.7","0,0707, ","","","","","","","","","","","","","","","","","","","","","","","","","     24.56","0","","","        0"," ,0","","","     26.86","0","","","     31401","0"
"USC00419966","1994","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","         0","0","       260","0","       140","0","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","   46.1","0,0627, ","","","","","","","","","","","","","","","","","","","","","    1248.8","8","    1248.8","0","     24.42","0","","","        0"," ,0","","","     27.69","0","","","     20622","0"
"USC00419966","1995","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00419966","1996","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00419966","1998","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","","","         0","0","","","","","","","","","","","","","","","","","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00419966","1999","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00419966","2000","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","        32","0","        13","0","         1","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  49.0"," ,0,0602, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","    161.8"," ,0","        0"," ,0","","","","","","","",""
"USC00419966","2001","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","        37","0","        11","0","         0","0","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","  12.7"," ,0,0904, ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","     92.8"," ,0","        0"," ,0","","","","","","","",""
"USC00419966","2002","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00419966","2003","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
"USC00419966","2007","31.69528","-106.32167","1118.6","YSLETA, TX US","","","","","","","","","","","        0","","         0","0","","","","","","","","","","","","","","","     0"," ,0,1231,+","     0"," ,0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","        0"," ,0","","","","","","","",""
